Kigo_Slug,Kigo_JP,Kigo_Romaji,Kigo_EN,Season,Category,Seq
aoashi,青芦,aoashi,green reeds,Summer,Plants,286
mugura,葎,mugura,hop vine,Summer,Plants,287
makomo,真菰,makomo,water-oat,Summer,Plants,288
hirugao,昼顔,hirugao,bindweed,Summer,Plants,289
ukikusa,萍（浮草）,ukikusa,duckweed,Summer,Plants,290
meron,メロン,meron,melon,Summer,Plants,291
shincha-2,新茶,Shincha,new tea,Summer,Plants,292
hazakura,葉桜,hazakura,leafy cherry tree,Summer,Plants,293
wakuraba,病葉,wakuraba,,Summer,Plants,294
mugi,麦,mugi,wheat,Summer,Plants,295
aki,秋,aki,autumn,Autumn,Season,296
fumizuki,文月,fumizuki,letters month,Autumn,Season,297
risshu,立秋,risshu,autumn begins,Autumn,Season,298
kesanoaki,今朝の秋,kesanoaki,,Autumn,Season,299
hatsuaki,初秋,hatsuaki,early autumn,Autumn,Season,300
zansho,残暑,zansho,lingering heat,Autumn,Season,301
akinohi,秋の日,akinohi,autumn day,Autumn,Season,302
aki-no-kure,秋の暮,aki no kure,autumn dusk,Autumn,Season,303
akinoyoru,秋の夜,akinoyoru,autumn night,Autumn,Season,304
akibiyori,秋日和,akibiyori,autumn fine weather,Autumn,Season,305
akibare,秋晴,akibare,,Autumn,Season,306
yonaga,夜長,yonaga,nights are long,Autumn,Season,307
hiyayaka,冷やか,hiyayaka,chilly,Autumn,Season,308
minishimu,身に入む,minishimu,it penetrates the body,Autumn,Season,309
asazamu,朝寒,asazamu,mornings are cold,Autumn,Season,310
yosamu,夜寒,yosamu,nights are cold,Autumn,Season,311
akifukashi,秋深し,akifukashi,well into autumn,Autumn,Season,312
yukuaki,行く秋,yukuaki,departing autumn,Autumn,Season,313
fuyudonari,冬隣,fuyudonari,next-door to winter,Autumn,Season,314
yayasamu,漸寒,yayasamu,slightly cold,Autumn,Season,315
susamaji,冷まじ,susamaji,chilling,Autumn,Season,316
shubun,秋分,shubun,,Autumn,Season,317
akinosora,秋の空,akinosora,autumn sky,Autumn,Season,318
iwashigumo,鰯雲,iwashigumo,sardine clouds,Autumn,Celestial,319
ama-no-gawa,天の川,ama no gawa,milky Way,Autumn,Celestial,320
hoshizukiyo,星月夜,hoshizukiyo,stars-for-moon night,Autumn,Celestial,321
tsuki,月,tsuki,moon,Autumn,Celestial,322
meigetsu,名月,meigetsu,harvest moon,Autumn,Celestial,323
izayoi,十六夜,izayoi,sixteenth night moon,Autumn,Celestial,324
nochinotsuki,後の月,nochinotsuki,after moon,Autumn,Celestial,325
akinokaze,秋の風,akinokaze,autumn wind,Autumn,Celestial,326
hatsuarashi,初嵐,hatsuarashi,first gale,Autumn,Celestial,327
nowaki,野分,nowaki,field gale,Autumn,Celestial,328
akinoame,秋の雨,akinoame,autumn rain,Autumn,Celestial,329
kiri,霧,kiri,fog,Autumn,Celestial,330
tsuyu-2,露,tsuyu,dew,Autumn,Celestial,331
tsuyuzimo,露霜,tsuyuzimo,dewy frost,Autumn,Celestial,332
inazuma,稲妻,inazuma,lightning,Autumn,Celestial,333
akinokoe,秋の声,akinokoe,autumn's voice,Autumn,Celestial,334
akibare-2,秋晴れ,akibare,autumn clear weather,Autumn,Celestial,335
akinoyama,秋の山,akinoyama,autumn mountain,Autumn,Landscape,336
akinono,秋の野,akinono,autumn field,Autumn,Landscape,337
hanano,花野,hanano,flowery field,Autumn,Landscape,338
akinota,秋の田,akinota,autumn ricefield,Autumn,Landscape,339
karita,刈田,karita,reaped ricefield,Autumn,Landscape,340
akinoumi,秋の海,akinoumi,autumn ocean,Autumn,Landscape,341
akinomizu,秋の水,akinomizu,autumn water,Autumn,Landscape,342
hatsushio,初潮,hatsushio,high tide,Autumn,Landscape,343
yamayosou,山粧ふ,yamayosou,mountains adorn,Autumn,Landscape,344
shinmai,新米,shinmai,new rice,Autumn,Life,345
shinshu,新酒,shinshu,new sake,Autumn,Life,346
kakashi,案山子,kakashi,scarecrow,Autumn,Life,347
naruko,鳴子,naruko,clappers,Autumn,Life,348
inekari,稲刈,inekari,harvesting rice,Autumn,Life,349
kinuta,砧,kinuta,fulling-block,Autumn,Life,350
ashikari,芦刈,ashikari,cutting reeds,Autumn,Life,351
sumo,相撲,sumo,sumo wrestling,Autumn,Life,352
tsukimi,月見,tsukimi,moon-view,Autumn,Life,353
momizigari,紅葉狩,momizigari,autumn-leaves hunt,Autumn,Life,354
tanabata,七夕,tanabata,star festival,Autumn,Life,355
choyo,重陽,choyo,chrysanthemum festival,Autumn,Life,356
bon,盆,bon,festival for the dead,Autumn,Observance,357
urabone,盂蘭盆会,urabone,ullambana meeting,Autumn,Observance,358
odori,踊,odori,bon dance,Autumn,Life,359
mushikago,虫籠,mushikago,insect cage,Autumn,Life,360
yagaku,夜学,yagaku,night study,Autumn,Life,361
shikiki,子規忌,shikiki,shiki's death anniversary,Autumn,Observance,362
akimatsuri,秋祭,akimatsuri,autumn festival,Autumn,Observance,363
hanabi-2,花火,Hanabi,fireworks,Autumn,Life,364
